sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,relatedness,filters,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,ErTv,gw_het_GL2_3x_ErTv,gw_het_GL2_5x_ErTv,F_ngsF,exon_het_GL2_5x,exon_het_GL2_5x_ErTv,Froh_JH767723,Froh_88filt,Froh,ave_RoH_len,max_RoH_len,min_RoH_len,GW_het_DS,GW_het_DS_corrected
cap2009.1,wr_P9109_102,San_Diego_Zoo_Institute_for_Conservation_Research,KB21325,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2009,Illumina,Paired_end_150_bp,396393903,323144374,0.8152,0.1535,273542061,0.6901,17.2,0.0035,0.000079,0.00008,0.000045,0.000045,0.3886,,,0.00008683,0.00008692,0.00008671,0.00057392,0.00008687,0.00008666,0.055681,0.00005112,0.00005109,0.3619,0.58779,0.280563,535577,6469503,1185,0.00004746,4.7430862847248E-05
cap2010.1,wr_P9109_103,San_Diego_Zoo_Institute_for_Conservation_Research,KB21326,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2010,Illumina,Paired_end_150_bp,391652474,326737057,0.8343,0.1562,275697899,0.7039,17.41,0.0016,0.000082,0.000083,0.00005,0.00005,0.3547,,,0.00008989,0.00008982,0.00008965,0.00053248,0.00008977,0.0000896,0.029868,0.00005681,0.00005678,0.2178,0.6716,0.268748,533010,4661230,1188,0.00004757,4.7546468967936E-05
cap2008.1,wr_P9109_104,San_Diego_Zoo_Institute_for_Conservation_Research,KB21328,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2008,Illumina,Paired_end_150_bp,464991217,393099780,0.8454,0.1681,327004492,0.7032,20.49,0.0015,0.000087,0.000086,0.000055,0.000054,0.3444,,,0.0000943,0.00009418,0.00009409,0.0005841,0.00009412,0.00009404,0.025274,0.00005882,0.00005878,0.2146,0.56717,0.263491,646410,7505252,745,0.00004932,4.928659487486E-05
cap2011.1,wr_P9109_105,San_Diego_Zoo_Institute_for_Conservation_Research,KB21329,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,392551261,328274408,0.8363,0.1344,284140282,0.7238,17.85,0.0016,0.000091,0.000091,0.000054,0.000054,0.296,,,0.00009997,0.00010012,0.00009998,0.00114074,0.00010001,0.00009987,0.002503,0.00006003,0.00005996,0.1376,0.58971,0.225041,369539,6653709,3932,0.00006014,6.0072294869734E-05
cap2011.2,wr_P9109_106,San_Diego_Zoo_Institute_for_Conservation_Research,KB21408,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,462564978,395111643,0.8542,0.1337,342295054,0.74,21.62,0.0015,0.000085,0.000083,0.000051,0.00005,0.3539,,,0.00009174,0.00009162,0.00009149,0.00113484,0.00009152,0.00009139,0.042079,0.00005704,0.00005698,0.3432,0.8401,0.403896,734297,13118144,1184,0.00005529,5.523025129188E-05
cap2011.3,wr_P9109_107,San_Diego_Zoo_Institute_for_Conservation_Research,KB21409,unpublished,simum,Post-bottleneck,SWRpost,F,F,captive,captive,2011,Illumina,Paired_end_150_bp,493996657,419769074,0.8497,0.153,355531400,0.7197,22.41,0.0017,0.000087,0.000085,0.000054,0.000053,0.3435,,,0.0000937,0.00009362,0.00009354,0.000358,0.00009359,0.00009351,0.022503,0.0000601,0.00006008,0.3259,0.83574,0.342993,663039,7474966,1209,0.00004851,4.84932332052E-05
ZA2012.1,wr_P9109_108,San_Diego_Zoo_Institute_for_Conservation_Research,KB21391,unpublished,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,2012,Illumina,Paired_end_150_bp,355398018,304068147,0.8556,0.155,256944179,0.723,16.17,0.0016,0.000087,0.000089,0.000054,0.000055,0.3299,,,0.00009553,0.00009564,0.00009534,0.00035217,0.00009561,0.00009531,0.01497,0.00006081,0.00006079,0.1909,0.66803,0.250496,570962,4312107,8501,0.00005193,5.1914210931475E-05
ZA1968.1,wr_P9109_109,San_Diego_Zoo_Institute_for_Conservation_Research,KB21423,unpublished,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1968,Illumina,Paired_end_150_bp,450347121,382462959,0.8493,0.1317,332098823,0.7374,20.84,0.0017,0.000088,0.000087,0.000053,0.000052,0.3397,,,0.00009523,0.00009512,0.00009498,0.00068591,0.00009505,0.00009491,0.008032,0.00005859,0.00005855,0.3147,0.42558,0.321019,587118,7330745,801,0.00005203,5.1998409290469E-05
ZA1969.1,wr_P9109_110,San_Diego_Zoo_Institute_for_Conservation_Research,KB21426,unpublished,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1969,Illumina,Paired_end_150_bp,427489688,363328560,0.8499,0.1223,318906462,0.746,20.05,0.0015,0.000089,0.000088,0.000053,0.000053,0.3386,,,0.00009637,0.00009623,0.00009612,0.00066218,0.00009617,0.00009606,0.02815,0.00005862,0.00005858,0.4778,0.4915,0.324224,562656,8459541,7754,0.00005216,5.2123761816906E-05
ZA1958.1,wr_SRR5852738,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB6974.24,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1958,Illumina,Paired_end_150_bp,166146617,131234478,0.7899,0.0037,130747206,0.7869,9.08,0.0005,0.000084,0.000112,0.000047,0.000064,0.3714,,,0.00013982,0.00013646,0.00012799,0.01665024,0.00013419,0.00012586,0.015965,0.00009053,0.00008903,0.133,0.72416,0.228438,549383,10908592,4775,0.00014312,0.0001407321
ZA1963.1,wr_SRR5852739,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5892.156,Tunstall_et_al.2018,simum,Post-bottleneck,SWRpost,F,F,South Africa,NA,1963,Illumina,Paired_end_150_bp,182943677,139770617,0.764,0.0041,139192630,0.7608,9.7,0.0005,0.000088,0.000112,0.000055,0.000071,0.349,,,0.0001423,0.00013915,0.00013124,0.01709193,0.00013677,0.000129,0.007511,0.0000994,0.0000977,0.3328,0.63295,0.310455,702387,8132349,12465,0.00014546,0.0001429768
