new_ID,sample_name,AfRSG_subsp.,voucher,source,reference,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,seq_retained_reads,hits_raw,hits_raw_frac,hits_clonality,hits_unique,hits_unique_frac,hits_coverage,5’CtoT_damage,uncorrected_gw_het,corrected_gw_het,uncorrected_exon_het,corrected_exon_het,FRoH,comments
ZA1969.1,wr_P9109_110,simum,KB21426,San_Diego_Zoo_Institute_for_Conservation_Research,unpublished,Post-bottleneck,SWR2,F,F,South Africa,NA,1969,Illumina,Paired_end_150_bp,427489688,363328560,0.8499,0.1223,318906462,0.746,20.05,0.0015,0.00008911,0.00008803,0.00005345,0.00005270,0.3386,
ZA1958.1,wr_SRR5852738,simum,PRJNA394025.KB6974.24,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,SWR2,F,F,South Africa,NA,1958,Illumina,Paired_end_150_bp,166146617,131234478,0.7899,0.0037,130747206,0.7869,9.08,0.0005,0.00008408,0.00011226,0.00004731,0.00006434,0.3714,
ZA1963.1,wr_SRR5852739,simum,PRJNA394025.KB5892.156,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,SWR2,F,F,South Africa,NA,1963,Illumina,Paired_end_150_bp,182943677,139770617,0.764,0.0041,139192630,0.7608,9.7,0.0005,0.00008823,0.00011230,0.00005486,0.00007103,0.3490,
ZA1963.2,wr_SRR5852740,simum,PRJNA394025.KB7062.147,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,SWR2,F,F,South Africa,NA,1963,Illumina,Paired_end_150_bp,183262608,141303484,0.771,0.0048,140620450,0.7673,9.76,0.0007,0.00009154,0.00011602,0.00005811,0.00007491,0.3086,
SD1972.1,wr_SRR5852741,cottoni,PRJNA394025.KB5764.376,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,179636474,139848010,0.7785,0.0052,139114182,0.7744,9.68,0.0009,0.00013864,0.00017672,0.00007709,0.00009996,0.2154,
SD1973.1,wr_SRR5852742,cottoni,PRJNA394025.KB5766.372,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,M,M,Sudan,NA,1973,Illumina,Paired_end_150_bp,187434291,142941851,0.7626,0.0031,142501494,0.7603,9.86,0.0009,0.00013653,0.00017184,0.00007314,0.00009361,0.2370,
SS1954.1,wr_SRR5852743,cottoni,PRJNA394025.KB3731.28,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,F,F,South Sudan,Equatoria,1954,Illumina,Paired_end_150_bp,183307507,140731365,0.7677,0.0032,140285662,0.7653,9.74,0.0007,0.00014271,0.00018113,0.00007689,0.00009926,0.2044,
SD1972.2,wr_SRR5852744,cottoni,PRJNA394025.KB5763.377,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,185450379,139998444,0.7549,0.0037,139483797,0.7521,9.74,0.0008,0.00012422,0.00015766,0.00006933,0.00008950,0.2725,
SD1974.1,wr_SRR5852745,cottoni,PRJNA394025.KB8175.374,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,F,F,Sudan,NA,1974,Illumina,Paired_end_150_bp,166083178,98835593,0.5951,0.0026,98578815,0.5936,6.87,0.0008,0.00010250,0.00017585,0.00005456,0.00009558,0.2799,
SD1972.3,wr_SRR5852746,cottoni,"PRJNA394025,KB9939.373",San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,158755543,122341238,0.7706,0.0034,121931284,0.768,8.5,0.0009,0.00013168,0.00018523,0.00007369,0.00010568,0.2145,
SD1963.1,wr_SRR5852747,cottoni,PRJNA394025.KB6571.74,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,M,M,Sudan,NA,1963,Illumina,Paired_end_150_bp,171373726,129705211,0.7569,0.0047,129089156,0.7533,8.93,0.0009,0.00013462,0.00018205,0.00007584,0.00010449,0.2077,
UG1965.1,wr_SRR5852748,cottoni,PRJNA394025.KB8174.351,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,F,F,Uganda,NA,1965,Illumina,Paired_end_150_bp,205073417,150631730,0.7345,0.006,149734543,0.7302,10.42,0.0009,0.00012741,0.00015474,0.00007358,0.00009075,0.2982,
SD1972.4,wr_SRR5852749,cottoni,PRJNA394025.KB9947.348,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,NWR2,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,179506453,137015991,0.7633,0.0035,136530013,0.7606,9.51,0.0005,0.00013468,0.00017381,0.00007299,0.00009585,0.2397,
ZA1961.1,wr_SRR5852750,simum,PRJNA394025.KB13306.34,San_Diego_Zoo_Institute_for_Conservation_Research,Tunstall_et_al.2018,Post-bottleneck,SWR2,M,M,South Africa,NA,1961,Illumina,Paired_end_150_bp,173971516,134278827,0.7718,0.0057,133514813,0.7675,9.27,0.0008,0.00008529,0.00011214,0.00005234,0.00007006,0.3608,
