sample_name,lab_ID,source,voucher,reference,subspecies,pre/post-bottleneck,time_window,sex,sex_inferred_from_depth_X_scaffolds,country,locality,date,sequencing_platform,sequencing_mode,retained_reads,mapped_reads_raw,mapped_reads_raw_fraction,mapped_reads_clonal_fraction,mapped_reads_unique,mapped_reads_unique_fraction,depth_of_coverage,5’CtoT_damage,gw_het_GL1_raw,gw_het_GL1_corrected,exon_het_GL1_raw,exon_het_GL1_corrected,FRoH,comments,gw_het_GL2,gw_het_GL2_3x,gw_het_GL2_5x,gw_het_GL2_3x_ErTv
ZA1968.1,wr_P9109_109,San_Diego_Zoo_Institute_for_Conservation_Research,KB21423,unpublished,simum,Post-bottleneck,SWR2,F,F,South_Africa,NA,1968,Illumina,Paired_end_150_bp,450347121,382462959,0.8493,0.1317,332098823,0.7374,20.84,0.0017,0.000088,0.000087,0.000053,0.000052,0.3397,,0.00009523,0.00009512,0.00009498,0.00009505
ZA1969.1,wr_P9109_110,San_Diego_Zoo_Institute_for_Conservation_Research,KB21426,unpublished,simum,Post-bottleneck,SWR2,F,F,South_Africa,NA,1969,Illumina,Paired_end_150_bp,427489688,363328560,0.8499,0.1223,318906462,0.746,20.05,0.0015,0.000089,0.000088,0.000053,0.000053,0.3386,,0.00009637,0.00009623,0.00009612,0.00009617
ZA1958.1,wr_SRR5852738,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB6974.24,Tunstall_et_al.2018,simum,Post-bottleneck,SWR2,F,F,South_Africa,NA,1958,Illumina,Paired_end_150_bp,166146617,131234478,0.7899,0.0037,130747206,0.7869,9.08,0.0005,0.000084,0.000112,0.000047,0.000064,0.3714,,0.00013982,0.00013646,0.00012799,0.00013419
ZA1963.1,wr_SRR5852739,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5892.156,Tunstall_et_al.2018,simum,Post-bottleneck,SWR2,F,F,South_Africa,NA,1963,Illumina,Paired_end_150_bp,182943677,139770617,0.764,0.0041,139192630,0.7608,9.7,0.0005,0.000088,0.000112,0.000055,0.000071,0.349,,0.0001423,0.00013915,0.00013124,0.00013677
ZA1963.2,wr_SRR5852740,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB7062.147,Tunstall_et_al.2018,simum,Post-bottleneck,SWR2,F,F,South_Africa,NA,1963,Illumina,Paired_end_150_bp,183262608,141303484,0.771,0.0048,140620450,0.7673,9.76,0.0007,0.000092,0.000116,0.000058,0.000075,0.3086,,0.00014697,0.00014382,0.00013571,0.00014137
SD1972.1,wr_SRR5852741,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5764.376,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,179636474,139848010,0.7785,0.0052,139114182,0.7744,9.68,0.0009,0.000139,0.000177,0.000077,0.0001,0.2154,,0.00020905,0.00020508,0.00019452,0.00020171
SD1973.1,wr_SRR5852742,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5766.372,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,M,M,Sudan,NA,1973,Illumina,Paired_end_150_bp,187434291,142941851,0.7626,0.0031,142501494,0.7603,9.86,0.0009,0.000137,0.000172,0.000073,0.000094,0.237,,0.0002036,0.00020031,0.00019102,0.00019692
SS1954.1,wr_SRR5852743,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB3731.28,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,F,F,South_Sudan,Equatoria,1954,Illumina,Paired_end_150_bp,183307507,140731365,0.7677,0.0032,140285662,0.7653,9.74,0.0007,0.000143,0.000181,0.000077,0.000099,0.2044,,0.00021673,0.00021296,0.0002014,0.00020933
SD1972.2,wr_SRR5852744,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB5763.377,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,F,F,Sudan,NA,1972,Illumina,Paired_end_150_bp,185450379,139998444,0.7549,0.0037,139483797,0.7521,9.74,0.0008,0.000124,0.000158,0.000069,0.00009,0.2725,,0.00018714,0.00018416,0.00017589,0.00018121
SD1974.1,wr_SRR5852745,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB8175.374,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,F,F,Sudan,NA,1974,Illumina,Paired_end_150_bp,166083178,98835593,0.5951,0.0026,98578815,0.5936,6.87,0.0008,0.000102,0.000176,0.000055,0.000096,0.2799,,0.00020526,0.00019532,0.00017849,0.00019196
SD1972.3,wr_SRR5852746,San_Diego_Zoo_Institute_for_Conservation_Research,"PRJNA394025,KB9939.373",Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,158755543,122341238,0.7706,0.0034,121931284,0.768,8.5,0.0009,0.000132,0.000185,0.000074,0.000106,0.2145,,0.00020971,0.00020484,0.0001939,0.00020148
SD1963.1,wr_SRR5852747,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB6571.74,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,M,M,Sudan,NA,1963,Illumina,Paired_end_150_bp,171373726,129705211,0.7569,0.0047,129089156,0.7533,8.93,0.0009,0.000135,0.000182,0.000076,0.000104,0.2077,,0.00021202,0.00020788,0.00019611,0.00020432
UG1965.1,wr_SRR5852748,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB8174.351,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,F,F,Uganda,NA,1965,Illumina,Paired_end_150_bp,205073417,150631730,0.7345,0.006,149734543,0.7302,10.42,0.0009,0.000127,0.000155,0.000074,0.000091,0.2982,,0.00018958,0.00018668,0.0001781,0.00018350
SD1972.4,wr_SRR5852749,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB9947.348,Tunstall_et_al.2018,cottoni,Post-bottleneck,NWR2,M,M,Sudan,NA,1972,Illumina,Paired_end_150_bp,179506453,137015991,0.7633,0.0035,136530013,0.7606,9.51,0.0005,0.000135,0.000174,0.000073,0.000096,0.2397,,0.0002045,0.00020042,0.00019041,0.00019711
ZA1961.1,wr_SRR5852750,San_Diego_Zoo_Institute_for_Conservation_Research,PRJNA394025.KB13306.34,Tunstall_et_al.2018,simum,Post-bottleneck,SWR2,M,M,South_Africa,NA,1961,Illumina,Paired_end_150_bp,173971516,134278827,0.7718,0.0057,133514813,0.7675,9.27,0.0008,0.000085,0.000112,0.000052,0.00007,0.3608,,0.00013927,0.00013583,0.00012827,0.00013352
